Activity Date,Activity Type,Campaign ID,Campaign Name,Campaign Objective,Channel,Conversion Funnel Stage,Source,Target Audience,Visibility,Campaign Duration,Clicks,Conversion Rate,Conversions,Cost,Engagement Rate,Engagement Time,Impressions,Revenue,ROI
2023-05-08,Engagement,Campaign-6848Zp,Ergonomic motivating structure,Brand Awareness,Twitter,Decision,Referral,Segmented Audience,Private,75,91,0.03,9,743.73,0.41,288,1028,1085.37,73.84
2023-03-26,Ad Display,Campaign-3969rC,Versatile disintermediate open system,Lead Generation,Google Ads,Decision,Social Media,Subscribers,Public,36,106,0.04,11,744.38,0.64,280,1050,954.95,240.12
2023-11-11,Engagement,Campaign-7515Nh,Reverse-engineered non-volatile alliance,Brand Awareness,Google Ads,Consideration,Direct,Subscribers,Restricted,77,96,0.02,14,615.98,0.53,186,1014,995.66,95.61
2023-01-30,Engagement,Campaign-7953pb,Pre-emptive zero tolerance encryption,Lead Generation,LinkedIn,Decision,Direct,Returning Customers,Private,66,105,0.06,5,558.98,0.71,185,996,1101.95,207.31
2022-02-05,Ad Display,Campaign-4135Yk,Expanded even-keeled complexity,Sales Conversion,Google Ads,Consideration,Direct,New Visitors,Public,72,98,0.18,9,570.21,0.89,299,994,1212.46,-82.72
2023-04-07,Ad Display,Campaign-5601Yj,Enterprise-wide local emulation,Sales Conversion,LinkedIn,Awareness,Social Media,Subscribers,Restricted,48,104,0.18,11,369.48,0.47,187,1011,1488.76,137.98
2023-05-24,Engagement,Campaign-3098MR,Balanced attitude-oriented emulation,Sales Conversion,Instagram,Awareness,PPC,Subscribers,Restricted,33,101,0.11,7,253.15,0.42,166,1026,866.23,198.78
2022-06-26,Click,Campaign-1013MK,Object-based hybrid interface,Lead Generation,Facebook,Decision,Referral,Returning Customers,Restricted,16,107,0.17,18,240.7,0.92,78,1040,1191.04,107.35
2023-10-18,Conversion,Campaign-1615hc,Self-enabling web-enabled algorithm,Lead Generation,Instagram,Awareness,SEO,New Visitors,Public,37,103,0.16,9,293.2,0.5,289,982,1116.94,-82.6
2022-07-06,Engagement,Campaign-9032Th,Digitized reciprocal forecast,Lead Generation,Twitter,Awareness,SEO,Returning Customers,Private,71,92,0.14,12,298.21,0.95,33,1027,1392.12,-41.99
2022-02-21,Engagement,Campaign-7300IB,Triple-buffered fault-tolerant projection,Lead Generation,Google Ads,Consideration,Social Media,Subscribers,Private,32,108,0.15,12,596.55,0.1,1,1048,1193.05,3.67
2023-06-12,Ad Display,Campaign-9141oe,Balanced non-volatile database,Sales Conversion,LinkedIn,Consideration,Social Media,Subscribers,Private,23,101,0.05,7,341.05,0.56,202,985,1014,-87.08
2023-03-19,Ad Display,Campaign-4562dG,Innovative mobile implementation,Sales Conversion,Twitter,Awareness,PPC,Segmented Audience,Restricted,47,94,0.03,8,838.5,0.76,13,965,1170.31,17.4
2022-01-01,Click,Campaign-7091Sz,Customizable reciprocal service-desk,Sales Conversion,Facebook,Decision,Social Media,Returning Customers,Public,31,101,0.1,13,658.23,0.36,226,954,652.6,192.17
2022-07-17,Ad Display,Campaign-3457Kk,Team-oriented grid-enabled array,Lead Generation,Twitter,Consideration,Referral,Returning Customers,Public,16,89,0.2,12,363.2,0.9,289,946,672.8,155.67
2022-07-22,Ad Display,Campaign-3022vH,Synchronized logistical hierarchy,Sales Conversion,LinkedIn,Awareness,Email,New Visitors,Public,45,101,0.09,8,717.17,0.45,120,988,1487.38,-25.48
2022-02-19,Click,Campaign-4197Ql,Face-to-face regional paradigm,Brand Awareness,Google Ads,Decision,Referral,New Visitors,Restricted,51,121,0.15,10,320.29,0.46,257,997,860.64,80.48
2022-06-19,Ad Display,Campaign-0769Gt,Balanced bandwidth-monitored help-desk,Sales Conversion,Facebook,Decision,Social Media,Returning Customers,Restricted,21,118,0.05,7,434.17,0.22,224,1013,1356.5,-12.8
2022-01-22,Click,Campaign-5642JS,Switchable maximized core,Sales Conversion,Facebook,Consideration,Social Media,Segmented Audience,Restricted,74,125,0.18,12,319.67,0.04,197,1021,605.81,288.29
2022-08-22,Engagement,Campaign-0715Vc,Integrated explicit support,Sales Conversion,Instagram,Awareness,Email,Segmented Audience,Public,44,85,0.05,7,690.56,0.32,150,1006,1439.7,230.99
2022-05-21,Ad Display,Campaign-8423WE,Cross-platform zero administration ability,Brand Awareness,Twitter,Decision,PPC,Segmented Audience,Restricted,37,96,0.2,6,488.4,0.73,203,937,591.44,241.81
2023-03-23,Ad Display,Campaign-5945LO,Cloned static portal,Brand Awareness,Facebook,Decision,SEO,New Visitors,Public,71,86,0.2,10,644.17,0.86,125,938,853.02,-77.08
2022-06-19,Click,Campaign-9246VA,Optional dedicated methodology,Brand Awareness,Google Ads,Decision,SEO,Segmented Audience,Restricted,36,105,0.11,11,595.51,0.59,298,1005,12.43,235.81
2022-11-29,Click,Campaign-1093Sv,Expanded mobile open architecture,Lead Generation,Twitter,Consideration,PPC,Subscribers,Private,15,108,0.1,10,569.53,0.85,166,1009,2096.23,185.26
2022-07-15,Engagement,Campaign-2337yT,Synergistic upward-trending initiative,Brand Awareness,Instagram,Consideration,Referral,Segmented Audience,Private,13,105,0.18,12,667.4,0.26,240,997,1551.18,1.23
2022-08-31,Click,Campaign-9606SK,Programmable methodical complexity,Sales Conversion,Instagram,Consideration,Email,New Visitors,Restricted,56,89,0.13,10,461.7,0.52,11,1061,1701.6,121.55
2023-02-20,Engagement,Campaign-6027eq,Distributed 24hour moderator,Brand Awareness,Google Ads,Awareness,Social Media,Returning Customers,Public,34,100,0.17,13,588.12,0.36,289,1023,1044.03,212.16
2023-11-10,Conversion,Campaign-2787JM,Persevering asynchronous installation,Lead Generation,Facebook,Decision,Social Media,Returning Customers,Public,87,91,0.16,12,593.7,0.66,238,956,1681.35,283.7
2022-01-11,Engagement,Campaign-0075tD,Self-enabling tangible functionalities,Lead Generation,LinkedIn,Decision,PPC,Subscribers,Private,31,102,0.11,4,543.74,0.54,156,1026,837.16,268.97
2022-03-09,Click,Campaign-0638Of,Upgradable context-sensitive artificial intelligence,Sales Conversion,Google Ads,Consideration,Referral,Segmented Audience,Private,52,88,0.15,7,650.21,0.16,50,967,1078.71,-34.83
2023-12-31,Ad Display,Campaign-2066ua,Re-contextualized zero administration pricing structure,Sales Conversion,Facebook,Consideration,Social Media,Returning Customers,Private,15,108,0.18,6,494.77,0.74,7,976,1138.48,280.41
2022-02-01,Engagement,Campaign-3008Ng,Mandatory logistical process improvement,Brand Awareness,Instagram,Awareness,Email,Subscribers,Restricted,55,87,0.19,17,444.53,0.1,226,951,707.13,227.01
2023-06-01,Click,Campaign-3193tr,Ergonomic transitional matrix,Brand Awareness,Twitter,Awareness,Email,Subscribers,Restricted,12,106,0.15,9,831.73,0.02,275,1013,857.42,261.44
2022-10-15,Engagement,Campaign-2176Of,Synergistic intangible application,Sales Conversion,LinkedIn,Awareness,PPC,Segmented Audience,Private,55,85,0.06,10,462.78,0.19,202,1033,409.49,143.12
2022-12-18,Click,Campaign-0471qi,Diverse eco-centric frame,Brand Awareness,Facebook,Awareness,Social Media,Segmented Audience,Restricted,32,114,0.15,14,574.57,0.52,295,1012,841.51,218.5
2022-07-21,Conversion,Campaign-8512rb,Public-key explicit secured line,Sales Conversion,Google Ads,Decision,Direct,Subscribers,Private,86,100,0.14,11,436,0.82,164,956,1201.2,293.14
2022-09-29,Conversion,Campaign-0034Ju,Optional zero-defect parallelism,Lead Generation,Twitter,Awareness,Email,Subscribers,Restricted,77,93,0.19,7,326.64,0.56,137,995,1253.89,77.91
2022-02-18,Engagement,Campaign-5909PF,Adaptive solution-oriented methodology,Brand Awareness,Instagram,Awareness,SEO,New Visitors,Private,21,106,0.04,7,562.54,0.08,11,979,888,137.56
2022-12-29,Engagement,Campaign-7658ln,Cloned methodical frame,Lead Generation,Instagram,Consideration,PPC,Segmented Audience,Public,15,99,0.14,10,594.26,0.26,205,957,969.69,266.32
2022-10-24,Ad Display,Campaign-6940ij,Up-sized maximized software,Sales Conversion,Instagram,Decision,PPC,New Visitors,Restricted,82,105,0.2,6,651.66,0.24,62,1022,763.59,50.59
2022-06-04,Click,Campaign-4555Tf,Reactive high-level matrices,Lead Generation,Twitter,Decision,Direct,Subscribers,Private,80,104,0.05,5,380.89,0.86,268,952,1025.54,11.02
2023-01-03,Engagement,Campaign-5900rk,Secured asymmetric projection,Lead Generation,Facebook,Decision,Email,Segmented Audience,Restricted,24,99,0.2,10,657.71,0.8,201,1012,416.29,-72.03
2022-06-11,Click,Campaign-2945zJ,Integrated demand-driven system engine,Sales Conversion,Facebook,Consideration,Referral,Segmented Audience,Restricted,22,103,0.01,16,623.44,0.98,183,984,1095.83,205
2022-10-01,Engagement,Campaign-2417Up,Operative maximized help-desk,Lead Generation,Instagram,Decision,Referral,Returning Customers,Public,64,114,0.07,8,556.41,0.47,2,1010,1113.56,213.39
2022-07-22,Engagement,Campaign-0428Ue,Organic secondary circuit,Lead Generation,Google Ads,Consideration,SEO,Returning Customers,Restricted,51,89,0.07,13,568.88,0.75,227,966,975.15,57.09
2023-07-23,Click,Campaign-4654Ag,Vision-oriented system-worthy matrices,Lead Generation,Google Ads,Decision,PPC,New Visitors,Private,82,118,0.05,9,757.85,0.23,170,959,639.8,-39.9
2023-06-29,Click,Campaign-1877vZ,Multi-lateral asymmetric extranet,Sales Conversion,Facebook,Decision,PPC,Returning Customers,Public,38,77,0.08,3,421.03,0.12,42,1001,744.2,-7.77
2022-07-01,Engagement,Campaign-5171SF,Stand-alone non-volatile database,Lead Generation,Facebook,Consideration,SEO,Segmented Audience,Private,65,92,0.18,12,474.61,0.07,260,978,528.1,68.32
2022-11-10,Click,Campaign-6045VR,Reverse-engineered client-driven secured line,Lead Generation,LinkedIn,Awareness,PPC,Returning Customers,Private,10,106,0.15,12,407.14,0.27,286,990,976.64,-84.25
2023-10-30,Ad Display,Campaign-2296ZO,Progressive executive projection,Brand Awareness,Instagram,Decision,SEO,Subscribers,Restricted,16,90,0.17,6,525.52,0.6,4,1000,395.93,2.64
2023-08-15,Ad Display,Campaign-1113Vo,Configurable context-sensitive superstructure,Brand Awareness,Instagram,Decision,PPC,Segmented Audience,Public,47,108,0.12,11,691.79,0.72,139,1022,1111.69,83.39
2023-01-12,Conversion,Campaign-0601zJ,Adaptive next generation paradigm,Brand Awareness,LinkedIn,Consideration,PPC,Returning Customers,Public,15,104,0.06,15,54.09,0.57,291,1035,1386.96,63.7
2023-02-12,Engagement,Campaign-8477YL,Upgradable zero administration service-desk,Brand Awareness,LinkedIn,Consideration,Social Media,Subscribers,Private,11,100,0.08,12,514.63,0.36,41,1007,465.24,124.24
2022-02-07,Ad Display,Campaign-3615oq,Team-oriented national knowledgebase,Lead Generation,Facebook,Awareness,Direct,Subscribers,Restricted,53,111,0.19,10,814.03,0.85,288,964,1236.92,257.17
2023-01-17,Click,Campaign-9263wh,Realigned mission-critical focus group,Lead Generation,Twitter,Decision,PPC,Returning Customers,Private,75,92,0.14,6,509.47,0.77,249,972,526.4,-86.31
2022-06-07,Engagement,Campaign-1087WR,Enterprise-wide 24hour project,Sales Conversion,LinkedIn,Decision,Referral,Returning Customers,Public,15,81,0.13,5,426.3,0.74,14,968,164.21,230.52
2023-04-05,Click,Campaign-3176qn,Optional heuristic framework,Brand Awareness,LinkedIn,Consideration,Referral,Subscribers,Private,14,97,0.11,10,403.46,0.64,277,1030,1050.5,-47.75
2023-12-23,Ad Display,Campaign-0392gm,Optional actuating standardization,Sales Conversion,Google Ads,Consideration,SEO,Returning Customers,Private,26,112,0.07,13,527.92,0.86,288,1025,958.29,161.29
2023-08-13,Engagement,Campaign-7658jg,Automated 6thgeneration encryption,Lead Generation,LinkedIn,Decision,Referral,New Visitors,Private,72,93,0.17,12,619.39,0.69,113,1039,522.08,289.93
2023-06-25,Ad Display,Campaign-9729zO,Optimized zero administration projection,Brand Awareness,LinkedIn,Decision,Social Media,Subscribers,Restricted,60,106,0.14,12,604.04,0.44,120,985,1528.18,25.18
2022-04-29,Ad Display,Campaign-6875FF,Cross-group 6thgeneration implementation,Lead Generation,LinkedIn,Awareness,Email,Subscribers,Public,36,98,0.2,10,347.78,0.56,186,1029,907.11,21.56
2023-04-26,Ad Display,Campaign-3893av,Phased radical database,Sales Conversion,LinkedIn,Awareness,Email,Segmented Audience,Private,75,90,0.04,13,423.53,0.64,226,982,811.6,-65.67
2023-08-22,Engagement,Campaign-5508jq,Customizable encompassing adapter,Sales Conversion,Facebook,Consideration,PPC,Subscribers,Private,51,115,0.07,8,204.32,0.05,274,1001,830.91,8.58
2022-10-11,Engagement,Campaign-9269sT,Enhanced methodical portal,Sales Conversion,LinkedIn,Consideration,PPC,Segmented Audience,Private,81,94,0.12,10,582.57,0.23,28,946,1220.28,-59.05
2023-02-23,Engagement,Campaign-7118ce,Business-focused asymmetric adapter,Lead Generation,Twitter,Consideration,Social Media,Segmented Audience,Public,35,114,0.09,11,428.62,0.52,7,1016,1230.96,241.91
2023-01-02,Conversion,Campaign-3204aW,Function-based client-server intranet,Lead Generation,Facebook,Decision,Direct,Subscribers,Public,35,105,0.19,13,464.92,0.6,26,1026,938.26,39.37
2022-03-09,Conversion,Campaign-7522PD,Virtual cohesive data-warehouse,Lead Generation,Instagram,Consideration,Referral,New Visitors,Public,77,103,0.18,14,404.04,0.76,135,979,1156.77,-13.82
2022-02-22,Click,Campaign-5868Gc,Front-line secondary definition,Lead Generation,Facebook,Decision,Direct,New Visitors,Private,67,93,0.13,12,774.42,0.55,194,1010,1179.38,164.97
2022-09-13,Ad Display,Campaign-9189eV,Quality-focused stable adapter,Lead Generation,Instagram,Consideration,SEO,Returning Customers,Restricted,15,89,0.01,13,595.62,0.22,212,988,1434.17,288.28
2022-01-07,Conversion,Campaign-6348MA,Centralized local matrix,Lead Generation,Facebook,Decision,PPC,Subscribers,Restricted,65,96,0.07,11,518.1,0.86,208,1026,929.48,267.45
2022-04-30,Conversion,Campaign-7699oZ,Managed coherent project,Brand Awareness,Twitter,Decision,SEO,New Visitors,Restricted,14,103,0.02,6,319.57,0.9,268,1016,1112.77,111.28
2022-08-12,Engagement,Campaign-0024GK,Compatible analyzing protocol,Sales Conversion,Instagram,Awareness,Social Media,New Visitors,Public,51,105,0.16,9,581.13,0.06,108,1032,906.72,169.69
2023-09-23,Engagement,Campaign-4517qt,Right-sized actuating approach,Sales Conversion,Facebook,Consideration,Email,Returning Customers,Public,86,96,0.11,9,430.34,0.98,157,962,305.89,250.06
2022-05-04,Conversion,Campaign-6660kP,Sharable discrete initiative,Lead Generation,Facebook,Decision,Social Media,Subscribers,Private,58,91,0.1,12,465.25,0.16,10,1010,1430.62,172.19
2023-12-09,Ad Display,Campaign-2345dc,Visionary zero administration firmware,Lead Generation,Google Ads,Awareness,Direct,Segmented Audience,Private,40,124,0.12,13,363,0.79,113,986,993.32,168.88
2023-08-23,Conversion,Campaign-7627MT,Advanced modular firmware,Lead Generation,Facebook,Consideration,PPC,Segmented Audience,Restricted,88,104,0.05,11,667.46,0.76,81,977,1347.73,107.27
2023-08-27,Conversion,Campaign-1256cN,Cross-platform next generation collaboration,Brand Awareness,LinkedIn,Decision,Social Media,New Visitors,Public,59,102,0.14,10,445.54,0.61,238,1045,957.25,-32.61
2023-04-10,Ad Display,Campaign-7670gE,Configurable holistic success,Lead Generation,Instagram,Awareness,SEO,Segmented Audience,Public,25,110,0.09,16,614.37,0.77,182,991,463.37,44.11
2023-01-15,Conversion,Campaign-2009Ni,Intuitive responsive model,Lead Generation,Google Ads,Consideration,PPC,New Visitors,Private,70,105,0.14,6,581.54,0.6,247,1002,1453.9,85.47
2023-02-24,Ad Display,Campaign-5185my,Streamlined dedicated monitoring,Sales Conversion,Google Ads,Decision,Direct,Subscribers,Restricted,67,113,0.18,8,662.26,0.69,106,973,1308.81,227.89
2022-04-23,Engagement,Campaign-7109SD,Synergistic reciprocal website,Lead Generation,Twitter,Decision,Referral,New Visitors,Public,29,79,0.06,13,624.48,0.05,205,997,1107.04,-47.42
2022-03-19,Conversion,Campaign-9519sY,Secured zero tolerance data-warehouse,Sales Conversion,Instagram,Consideration,PPC,Segmented Audience,Restricted,53,100,0.06,6,507.99,0.51,173,992,807.68,-50.27
2023-11-14,Engagement,Campaign-2641HY,Realigned multimedia framework,Lead Generation,Twitter,Decision,Email,Subscribers,Restricted,37,97,0.14,13,618.49,0.84,49,1026,1128.22,6.76
2023-03-02,Click,Campaign-3067xW,Progressive dynamic complexity,Lead Generation,Instagram,Consideration,Referral,Returning Customers,Public,62,98,0.2,9,609.74,0.68,107,988,1472.62,293.91
2023-10-08,Conversion,Campaign-3751cc,Enterprise-wide heuristic architecture,Sales Conversion,Google Ads,Consideration,PPC,Subscribers,Restricted,12,106,0.02,7,391.24,0.67,32,990,1171.02,91.81
2022-06-09,Click,Campaign-7408QK,Cross-platform executive instruction set,Sales Conversion,Facebook,Awareness,Email,Segmented Audience,Private,26,103,0.15,12,575.01,0.97,30,1033,1138.35,77.21
2023-07-20,Conversion,Campaign-9331XO,Optimized multimedia extranet,Lead Generation,Twitter,Decision,Direct,Segmented Audience,Restricted,48,120,0.08,9,662.09,0.56,231,974,969.56,213.61
2022-10-24,Click,Campaign-8868th,Progressive coherent budgetary management,Lead Generation,Instagram,Consideration,PPC,Segmented Audience,Private,10,93,0.1,9,963.29,0.3,118,1058,1219.39,-47.7
2023-05-03,Click,Campaign-2696fg,Multi-layered hybrid capability,Sales Conversion,Twitter,Decision,Referral,New Visitors,Restricted,57,95,0.2,12,567.73,0.71,52,986,1026.94,216.97
2023-03-13,Click,Campaign-6116Xj,Enterprise-wide actuating installation,Lead Generation,Google Ads,Decision,PPC,Subscribers,Private,62,97,0.1,10,395.96,0.38,172,999,699.74,137.54
2022-10-25,Ad Display,Campaign-0766bF,Realigned 4thgeneration open system,Brand Awareness,Instagram,Awareness,Direct,Subscribers,Public,68,88,0.05,8,443.84,0.68,86,1018,1003.72,266.97
2023-01-14,Click,Campaign-5415eh,Future-proofed stable synergy,Brand Awareness,Facebook,Decision,Referral,New Visitors,Private,78,98,0.07,9,877.89,0.59,73,1026,983,293.09
2022-04-18,Click,Campaign-5055la,Re-engineered upward-trending functionalities,Lead Generation,Google Ads,Consideration,PPC,Segmented Audience,Restricted,55,102,0.04,8,453.62,0.09,251,1017,942.13,-86.39
2022-07-04,Engagement,Campaign-3519jn,Front-line web-enabled adapter,Brand Awareness,Facebook,Decision,Referral,Subscribers,Public,11,97,0.13,7,243.79,0.74,130,955,1044.85,146.68
2022-10-21,Engagement,Campaign-0310sx,Centralized 5thgeneration adapter,Sales Conversion,Facebook,Decision,Direct,Subscribers,Private,86,110,0.07,10,497.39,0.64,283,1022,329.45,208.17
2022-08-27,Engagement,Campaign-0932lD,Focused fresh-thinking budgetary management,Lead Generation,Facebook,Consideration,Social Media,Returning Customers,Private,47,89,0.03,9,164.11,0.9,185,955,1349.78,105.28
2022-10-20,Conversion,Campaign-1754ib,Self-enabling user-facing projection,Lead Generation,LinkedIn,Consideration,Referral,Returning Customers,Restricted,49,97,0.14,8,203.73,0.24,7,993,899.59,241.77
2023-07-07,Conversion,Campaign-3557ss,Total background forecast,Lead Generation,Twitter,Awareness,Referral,New Visitors,Private,66,89,0.09,11,211.93,0.56,59,1019,847.39,247.82
2023-05-13,Ad Display,Campaign-8529fg,Function-based maximized approach,Lead Generation,LinkedIn,Awareness,Direct,Returning Customers,Restricted,40,77,0.08,11,349.36,0.69,121,1024,1125.25,164.24
2022-05-31,Engagement,Campaign-8942yj,Virtual bi-directional interface,Lead Generation,Facebook,Awareness,Social Media,Subscribers,Restricted,47,108,0.1,4,735.87,0.52,239,956,1705.07,-35.57
2022-01-25,Engagement,Campaign-2358pp,Focused empowering flexibility,Sales Conversion,Twitter,Consideration,PPC,Subscribers,Public,40,93,0.18,9,732.04,0.61,223,1016,297.6,200.22
2023-09-24,Engagement,Campaign-2456Qc,Visionary optimizing policy,Brand Awareness,Instagram,Decision,Email,New Visitors,Restricted,44,101,0.2,12,410.31,0.28,240,1066,739.88,-31.51
2022-01-17,Conversion,Campaign-2906eS,Upgradable systemic support,Lead Generation,Google Ads,Consideration,Direct,Returning Customers,Restricted,42,125,0.17,8,302.63,0.01,227,984,1273,-59.9
2022-02-25,Conversion,Campaign-1264JA,Customizable client-driven moratorium,Lead Generation,Twitter,Decision,Social Media,Segmented Audience,Public,19,112,0.13,7,720.9,0.04,24,1009,743.72,-8.35
2022-02-15,Ad Display,Campaign-2964Ow,Decentralized holistic hierarchy,Lead Generation,Instagram,Awareness,PPC,Segmented Audience,Public,65,88,0.06,16,321.01,0.13,197,1014,786.16,-88.22
2023-02-03,Engagement,Campaign-1375OH,Future-proofed high-level application,Lead Generation,Google Ads,Decision,Referral,Segmented Audience,Public,11,100,0.01,15,414.83,0.55,63,1010,1077.72,274.66
2022-06-10,Conversion,Campaign-0660AU,Cloned incremental frame,Sales Conversion,LinkedIn,Consideration,Direct,Subscribers,Restricted,52,97,0.16,12,459.31,0.26,230,1023,1608.31,274.52
2023-09-13,Ad Display,Campaign-5735sE,Multi-lateral even-keeled ability,Brand Awareness,Twitter,Consideration,Referral,Returning Customers,Public,28,111,0.17,11,522.99,0.92,35,1020,949.09,278.9
2023-11-08,Click,Campaign-1214hJ,Devolved mobile groupware,Brand Awareness,Facebook,Decision,Social Media,Segmented Audience,Public,19,90,0.19,8,575.1,0.2,168,980,1579.64,32.52
2022-08-02,Ad Display,Campaign-9276lX,Face-to-face demand-driven archive,Lead Generation,Google Ads,Decision,Direct,Returning Customers,Public,14,92,0.14,11,312.38,0.66,210,952,1061.26,233.35
2022-07-22,Click,Campaign-6623Dv,Optimized grid-enabled monitoring,Brand Awareness,Google Ads,Consideration,PPC,New Visitors,Public,59,113,0.03,9,383.45,0.37,70,988,708.64,250.67
2023-08-04,Engagement,Campaign-8257OO,Switchable asynchronous complexity,Brand Awareness,Google Ads,Awareness,PPC,Subscribers,Restricted,24,100,0.15,14,308,0.95,92,982,1637.09,-92.25
2022-07-03,Click,Campaign-1734aS,Enhanced scalable process improvement,Lead Generation,Google Ads,Consideration,Social Media,Returning Customers,Restricted,42,98,0.06,10,485.21,0.49,88,987,947.55,82.64
2023-04-24,Ad Display,Campaign-7970nt,Focused neutral array,Lead Generation,Instagram,Awareness,SEO,Subscribers,Private,83,107,0.18,7,486.89,0.91,177,1005,1210.95,201.74
2022-10-14,Conversion,Campaign-1489jB,Horizontal tertiary middleware,Sales Conversion,Twitter,Awareness,PPC,Subscribers,Private,21,121,0.17,13,491.19,0.32,223,979,1039.53,247.53
2022-09-28,Ad Display,Campaign-7173IW,Virtual zero-defect implementation,Sales Conversion,Instagram,Consideration,Direct,Subscribers,Private,48,115,0.05,6,508.8,0.39,106,1000,1739.95,278.65
2022-10-12,Click,Campaign-6401rQ,Centralized responsive help-desk,Lead Generation,Facebook,Awareness,SEO,New Visitors,Public,74,109,0.14,11,551.56,0.87,49,995,1066.86,244.36
2023-01-15,Ad Display,Campaign-0046HL,Extended maximized parallelism,Lead Generation,Google Ads,Consideration,PPC,Segmented Audience,Restricted,86,97,0.14,9,369,0.81,210,1015,1207.34,126.31
2022-09-11,Engagement,Campaign-6714ws,Re-contextualized dedicated Local Area Network,Sales Conversion,Google Ads,Consideration,PPC,New Visitors,Private,79,85,0.01,11,733.39,0.73,155,991,1256.22,268.36
2023-04-27,Ad Display,Campaign-3910eY,Profit-focused bi-directional intranet,Lead Generation,Google Ads,Decision,Referral,Segmented Audience,Private,81,91,0.18,9,682.45,0.62,216,967,1125.85,-97.6
2023-12-04,Conversion,Campaign-4485hH,Exclusive grid-enabled portal,Sales Conversion,Twitter,Consideration,SEO,Returning Customers,Private,89,92,0.01,10,729.39,0.67,108,1010,842.1,-8.69
2023-01-09,Conversion,Campaign-3216ss,Intuitive global structure,Sales Conversion,Facebook,Awareness,SEO,Subscribers,Private,77,107,0.1,6,579.24,0.9,15,983,972.62,288.13
